"Date","Price","Open","High","Low","Vol.","Change %"
"06/25/2019","5,858.13","5,858.13","5,858.13","5,858.13","","-0.95%"
"06/24/2019","5,914.29","5,914.29","5,914.29","5,914.29","","-0.17%"
"06/21/2019","5,924.54","5,924.54","5,924.54","5,924.54","","-0.12%"
"06/20/2019","5,931.66","5,931.66","5,931.66","5,931.66","","0.96%"
"06/19/2019","5,875.45","5,875.45","5,875.45","5,875.45","","0.30%"
"06/18/2019","5,857.95","5,857.95","5,857.95","5,857.95","","0.97%"
"06/17/2019","5,801.40","5,801.40","5,801.40","5,801.40","","0.09%"
"06/14/2019","5,795.96","5,795.96","5,795.96","5,795.96","","-0.15%"
"06/13/2019","5,804.53","5,804.53","5,804.53","5,804.53","","0.44%"
"06/12/2019","5,779.12","5,779.12","5,779.12","5,779.12","","-0.20%"
"06/11/2019","5,790.83","5,790.83","5,790.83","5,790.83","","-0.03%"
"06/10/2019","5,792.56","5,792.56","5,792.56","5,792.56","","0.47%"
"06/07/2019","5,765.66","5,765.66","5,765.66","5,765.66","","1.06%"
"06/06/2019","5,705.22","5,705.22","5,705.22","5,705.22","","0.64%"
"06/05/2019","5,668.89","5,668.89","5,668.89","5,668.89","","0.83%"
"06/04/2019","5,622.31","5,622.31","5,622.31","5,622.31","","2.15%"
"06/03/2019","5,504.05","5,504.05","5,504.05","5,504.05","","-0.28%"
"05/31/2019","5,519.27","5,519.27","5,519.27","5,519.27","","-1.30%"
"05/30/2019","5,591.97","5,591.97","5,591.97","5,591.97","","0.22%"
"05/29/2019","5,579.51","5,579.51","5,579.51","5,579.51","","-0.69%"
"05/28/2019","5,618.18","5,618.18","5,618.18","5,618.18","","-0.84%"
"05/24/2019","5,665.60","5,665.60","5,665.60","5,665.60","","0.15%"
"05/23/2019","5,657.10","5,657.10","5,657.10","5,657.10","","-1.18%"
"05/22/2019","5,724.71","5,724.71","5,724.71","5,724.71","","-0.28%"
"05/21/2019","5,740.81","5,740.81","5,740.81","5,740.81","","0.85%"
"05/20/2019","5,692.30","5,692.30","5,692.30","5,692.30","","-0.67%"
"05/17/2019","5,730.89","5,730.89","5,730.89","5,730.89","","-0.57%"
"05/16/2019","5,763.95","5,763.95","5,763.95","5,763.95","","0.92%"
"05/15/2019","5,711.49","5,711.49","5,711.49","5,711.49","","0.60%"
"05/14/2019","5,677.20","5,677.20","5,677.20","5,677.20","","0.81%"
"05/13/2019","5,631.41","5,631.41","5,631.41","5,631.41","","-2.41%"
"05/10/2019","5,770.44","5,770.44","5,770.44","5,770.44","","0.41%"
"05/09/2019","5,747.08","5,747.08","5,747.08","5,747.08","","-0.27%"
"05/08/2019","5,762.48","5,762.48","5,762.48","5,762.48","","-0.16%"
"05/07/2019","5,771.59","5,771.59","5,771.59","5,771.59","","-1.65%"
